Food,Calories,Fat,Sat.Fat,Trans_Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
Soft Serve Cone,190,4.5,3,0,20,32,0,24,5
Soft Serve Cup,170,4.5,3,0,20,28,0,24,5
HERSHEYs Chocolate Sundae,260,5,3,0,20,49,1,43,5
Caramel Sundae,240,5,3.5,0,20,42,0,33,5
Chocolate Chip Cookies (each),160,8,4,0,10,24,1,15,2
CROISSAWICH Egg & Cheese,340,18,8,0,160,29,1,4,12
"CROISSAWICH Sausage, Egg & Cheese",500,33,13,0,195,30,1,4,19
"CROISSAWICH Ham, Egg & Cheese",370,19,8,0,175,30,1,5,17
"CROISSAWICH Bacon, Egg & Cheese",370,21,9,0,170,30,1,4,14
Fully Loaded CROISSAWICH,610,40,17,0.5,225,31,1,5,28
Double CROISSAWICH with Sausage & Bacon,580,40,16,0.5,215,31,1,5,23
Double CROISSAWICH with Sausage,710,52,20,0.5,240,31,1,5,29
Double CROISSAWICH with Ham & Sausage,580,38,16,0.5,220,31,1,5,27
Fully Loaded Biscuit,640,45,20,0,225,31,1,4,28
"Ham, Egg, & Cheese Biscuit",400,24,12,0,175,29,1,3,17
"Sausage, Egg, & Cheese Biscuit",530,38,17,0,195,29,1,3,19
"Bacon, Egg & Cheese Biscuit",400,26,13,0,170,29,1,3,13
Sausage Biscuit,420,28,6,0,35,28,1,2,12
Breakfast Burrito Jr.,370,23,8,0,150,27,3,2,15
EGG-NORMOUS BURRITOÎ¡,780,42,15,0,355,68,3,4,32
BK„¢ Ultimate Breakfast Platter,930,44,11,0,390,110,4,40,24
NY Ultimate Platter (Regional menu item),900,46,12,0,380,95,5,31,25
Pancake and Sausage platter,610,31,9,0,80,72,1,30,12
Hash Browns  small,250,16,3.5,0,0,24,3,0,2
Hash Browns  medium,500,33,7,0,0,48,7,0,4
Hash Browns  large,670,44,9,0,0,65,9,0,5
French Toast Sticks (3 piece),230,11,2,0,0,29,1,8,3
French Toast Sticks (5 piece),380,18,3,0,0,49,2,13,5
American Cheese (slice),40,3.5,2,0,10,1,0,0,2
Ketchup (Packet),10,0,0,0,0,3,0,2,0
Mayonnaise (Packet),80,9,0.5,0,10,1,0,0,0
Strawberry or Grape Jam (packet),30,0,0,0,0,7,0,6,0
Breakfast Syrup (1 oz),120,0,0,0,0,30,0,18,0
Barbecue Dipping Sauce (1 oz),40,0,0,0,0,11,0,10,0
Ranch Dipping Sauce (1 oz),140,15,2.5,0,10,1,0,1,1
Buffalo Dipping Sauce (1 oz),80,8,1.5,0,5,2,0,1,0
Zesty Onion Ring Dipping Sauce (1 oz),150,15,2.5,0,20,3,0,0,0
Honey Mustard Dipping Sauce (1oz),90,6,1,0,10,8,0,7,0
Fat FREE Milk (8 fl oz),90,0,0,0,5,13,0,12,9
1% Low Fat Chocolate Milk (8 fl oz),160,2.5,1.5,0,15,26,0,25,8
Smoothie: Strawberry Banana 16 fl oz,310,1,0,0,0,71,3,50,4
Oreo Shake,720,20,12,0.5,65,118,1,98,16
Chocolate Oreo Shake,740,22,13,0.5,70,121,1,101,17
Vanilla Milk Shake,580,15,10,0,60,98,0,85,14
HERSHEYS Chocolate Milk Shake,610,16,10,0,60,103,1,88,14
Strawberry Milk Shake,640,15,10,0,60,113,0,99,14
Coca Cola classic¡,210,0,0,0,0,58,0,58,0
Diet Coke,0,0,0,0,0,0,0,0,0
Sprite,210,0,0,0,0,56,0,56,0
Dr. Pepper,190,0,0,0,0,52,0,51,0
Barqs Root Beer,240,0,0,0,0,65,0,65,0
Cherry Coke¡,220,0,0,0,0,61,0,61,0
Fanta Orange¡,230,0,0,0,0,62,0,61,0
Hi-C Fruit Punch¡,220,0,0,0,0,62,0,60,0
MINUTE MAID Light Lemonade,10,0,0,0,0,3,0,0,0
Sweet Tea,120,0,0,0,0,35,0,35,0
Unsweetened Tea,0,0,0,0,0,0,0,0,0
Capri Sun 100% Apple Juice,80,0,0,0,0,20,0,20,0
Minute Maid Orange Juice,140,0,0,0,0,33,0,30,2
Frozen Coke  16 oz,130,0,0,0,0,35,0,35,0
BK Cafe Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Decaf Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Decaf Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Decaf Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0
BK Cafe Iced Vanilla Coffee- 12 fl oz,150,8,4,0,25,21,0,21,1
BK Cafe Iced Vanilla Coffee- 16 fl oz,200,10,5,0,30,27,0,27,2
BK Cafe Iced Vanilla Coffee- 20 fl oz,260,13,7,0,40,34,0,34,2
BK Cafe Iced Mocha Coffee- 12 fl oz,180,8,4,0,25,27,1,25,2
BK Cafe Iced Mocha Coffee- 16 fl oz,240,10,6,0,30,35,1,32,2
BK Cafe Iced Mocha Coffee- 20 fl oz,300,13,7,0,40,45,2,41,3
BK Cafe Mocha Frappe- 12 fl oz,300,8,5,0,30,50,1,41,7
BK Cafe Mocha Frappe- 16 fl oz,400,10,7,0,40,68,1,58,9
BK Cafe Mocha Frappe- 20 fl oz,510,13,8,0,50,87,1,71,12
BK Cafe Caramel Frappe- 12 fl oz,300,8,5,0,35,50,0,41,7
BK Cafe Caramel Frappe- 16 fl oz,400,10,7,0,40,68,0,56,9
BK Cafe Caramel Frappe- 20 fl oz,500,12,8,0,50,86,0,71,11
Baconator,950,62,24,3,205,40,2,8,59
Daves Double,810,51,20,3,175,41,3,8,49
Daves Single,570,34,13,1.5,100,40,3,9,30
Daves Triple,1090,72,30,4,260,43,3,9,71
Double Stack,390,21,9,1.5,90,26,1,6,25
Jr. Bacon Cheeseburger,380,22,8,1,65,25,1,5,19
Jr. Cheeseburger,280,13,6,1,50,26,1,6,16
Jr. Cheeseburger Deluxe,340,19,7,1,55,27,2,7,16
Son of Baconator,630,39,15,1.5,125,37,2,7,34
3 Piece Chicken Tenders,330,16,2.5,0,75,22,0,0,24
4 Piece Chicken Nuggets,170,11,2,0,35,10,0,0,9
4 Piece Chicken Tenders,430,21,3.5,0,100,29,0,1,32
6 Picece Chicken Nuggets,250,16,3.5,0,50,14,1,0,13
6 Piece Chicken Tenders,650,32,5,0,150,43,0,1,48
10 Piece Chicken Nuggets,420,27,5,0,80,24,1,0,22
Crispy Chicken BLT,420,23,6,0,50,35,2,5,20
Crispy Chicken Sandwich,330,16,3,0,30,33,2,4,14
Grilled Asiago Ranch Club,530,23,7,0,120,36,3,6,43
Grilled Chicken Sandwich,370,10,2,0,90,38,3,8,34
Grilled Chicken Wrap,270,10,3.5,0,55,24,2,3,20
Homestyle Asiago Ranch Chicken Club,660,34,9,0,100,52,3,7,38
Homestyle Chicken Sandwich,510,22,4,0,70,51,3,6,28
SAwesome Sauce,120,12,2,0,0,4,1,3,1
Spicy Asiago Ranch Club,670,32,9,0,100,55,4,6,38
Spicy Chicken Sandwich,510,20,3.5,0,65,54,4,6,29
Spicy Chicken Wrap,370,20,5,0,50,30,2,2,18
"Apple Pecan Chicken Salad, Full Size",560,24,7,0,115,52,7,40,38
"Apple Pecan Chicken Salad, Half Size",340,17,4,0,55,29,4,22,20
"Berry Burst Chicken Salad, Full Size",460,17,4.5,0,105,41,7,29,41
"Berry Burst Chicken Salad, Half Size",290,13,2.5,0,50,23,5,15,23
Caesar Side Salad,240,15,4,0,30,19,3,4,8
Garden Side Salad,250,18,4,0,20,18,2,4,7
"Southwest Avocado Chicken Salad, Full Size",600,41,11,0,135,18,7,7,42
"Southwest Avocado Chicken Salad, Half Size",300,20,6,0,70,10,4,4,21
"Spicy Caesar Chicken Salad, Full Size",720,42,12,1,150,44,8,6,42
"Spicy Caesar Chicken Salad, Half Size",410,23,6,0.5,75,30,5,4,23
"Taco Salad, Full Size",660,32,13,1,85,63,10,18,32
"Taco Salad, Half Size",470,23,8,0.5,45,49,7,12,19
Apple Bites,35,0,0,0,0,9,2,7,0
Baconator Fries,490,28,9,0,35,45,4,2,14
Bacon Cheese Baked Potato,440,14,6,0,35,64,7,4,17
Cheese Baked Potato,430,13,7,0,30,65,7,5,14
Chili & Cheese Baked Potato,460,11,5,0,35,71,8,7,19
"Chili, Large",250,7,3,0.5,50,23,5,9,23
"Chili, Small",170,5,2,0,35,16,4,6,15
Chili Cheese Fries,500,25,8,0.5,35,53,6,4,16
"Natural-Cut Fries, Junior",230,10,2,0,0,30,3,0,3
"Natural-Cut Fries, Large",530,24,4.5,0,0,70,6,0,7
"Natural-Cut Fries, Medium",420,19,3.5,0,0,56,5,0,6
"Natural-Cut Fries, Small",320,15,2.5,0,0,43,4,0,5
Plain Baked Potato,270,0,0,0,0,61,7,3,7
Sour Cream and Chive Baked Potato,310,2.5,2.5,0,10,63,7,4,8
Summer Berry Burst Fruit Cup,20,0,0,0,0,5,1,3,0
1% Chocolate Milk,150,2.5,1.5,0,10,26,0,23,7
1% White Milk,90,2,1.5,0,10,10,0,10,7
"All-Natural Lemonade, Large",380,0,0,0,0,100,0,93,0
"All-Natural Lemonade, Medium",330,0,0,0,0,86,0,81,0
"All-Natural Lemonade, Small",190,0,0,0,0,50,0,47,0
"Apple Kiwi Fruit Tea, Large",330,0,0,0,0,83,0,80,0
"Apple Kiwi Fruit Tea, Medium",300,0,0,0,0,76,0,73,0
"Apple Kiwi Fruit Tea, Small",170,0,0,0,0,44,0,42,0
"Barqs Root Beer, Large",450,0,0,0,0,122,0,122,0
"Barqs Root Beer, Medium",360,0,0,0,0,98,0,98,0
"Barqs Root Beer, Small",220,0,0,0,0,61,0,61,0
"Brewed Unsweetened Iced Tea, Large",5,0,0,0,0,2,0,0,0
"Brewed Unsweetened Iced Tea, Medium",0,0,0,0,0,1,0,0,0
"Brewed Unsweetened Iced Tea, Small",0,0,0,0,0,1,0,0,0
"Caramel Iced Coffee, Medium",240,8,5,0,25,40,0,36,3
"Caramel Iced Coffee, Small",160,6,3.5,0,20,26,0,24,2
"Coca-Cola, Large",400,0,0,0,0,109,0,109,0
"Coca-Cola, Medium",320,0,0,0,0,87,0,87,0
"Coca-Cola, Small",200,0,0,0,0,54,0,54,0
"Coca-Cola Zero Sugar, Large",0,0,0,0,0,1,0,0,0
"Coca-Cola Zero Sugar, Medium",0,0,0,0,0,1,0,0,0
"Coca-Cola Zero Sugar, Small",0,0,0,0,0,0,0,0,0
"Diet Coke, Large",0,0,0,0,0,1,0,0,0
"Diet Coke, Medium",0,0,0,0,0,1,0,0,0
"Diet Coke, Small",0,0,0,0,0,0,0,0,0
"Dr Pepper, Large",240,0,0,0,0,66,0,64,0
"Dr Pepper, Medium",190,0,0,0,0,53,0,51,0
"Dr Pepper, Small",120,0,0,0,0,33,0,32,0
"Fanta Orange, Large",430,0,0,0,0,117,0,115,0
"Fanta Orange, Medium",340,0,0,0,0,94,0,92,0
"Fanta Orange, Small",210,0,0,0,0,59,0,58,0
"Hi-C Flashi Fruit Punch, Large",420,0,0,0,0,115,0,113,0
"Hi-C Flashi Fruit Punch, Medium",340,0,0,0,0,92,0,90,0
"Hi-C Flashi Fruit Punch, Small",210,0,0,0,0,58,0,56,0
"Honest Tropical Green Tea, Large",110,0,0,0,0,29,0,29,0
"Honest Tropical Green Tea, Medium",90,0,0,0,0,22,0,22,0
"Honest Tropical Green Tea, Small",60,0,0,0,0,14,0,14,0
Hot Tea,0,0,0,0,0,1,0,0,0
"Limeade, Large",460,0,0,0,0,117,0,111,0
"Limeade, Medium",380,0,0,0,0,98,0,93,0
"Limeade, Small",230,0,0,0,0,59,0,56,0
"Minute Maid Light Lemonade, Large",15,0,0,0,0,2,0,0,0
"Minute Maid Light Lemonade, Medium",10,0,0,0,0,1,0,0,0
"Minute Maid Light Lemonade, Small",5,0,0,0,0,1,0,0,0
"Mocha Iced Coffee, Medium",210,8,5,0,25,32,0,28,3
"Mocha Iced Coffee, Small",170,6,3.5,0,20,28,0,25,2
"Pear Berry Fruit Tea, Large",320,0,0,0,0,82,0,76,0
"Pear Berry Fruit Tea, Medium",300,0,0,0,0,76,0,70,0
"Pear Berry Fruit Tea, Small",170,0,0,0,0,44,0,40,0
"Skinny Vanilla Iced Coffee, Medium",100,8,5,0,25,14,0,0,3
"Skinny Vanilla Iced Coffee, Small",70,5,3.5,0,15,6,0,0,2
"Small Sprite, Small",200,0,0,0,0,53,0,53,0
"Sprite, Large",390,0,0,0,0,105,0,105,0
"Sprite, Medium",310,0,0,0,0,84,0,84,0
"Strawberry Lemonade, Large",480,0,0,0,0,121,0,114,0
"Strawberry Lemonade, Medium",380,0,0,0,0,98,0,92,0
"Strawberry Lemonade, Small",230,0,0,0,0,58,0,54,0
"Strawberry Sweet Tea, Large",270,0,0,0,0,69,0,67,0
"Strawberry Sweet Tea, Medium",240,0,0,0,0,60,0,59,0
"Strawberry Sweet Tea, Small",140,0,0,0,0,36,0,35,0
"Strawberry Tea, Large",90,0,0,0,0,22,0,20,0
"Strawberry Tea, Medium",60,0,0,0,0,16,0,14,0
"Strawberry Tea, Small",45,0,0,0,0,11,0,10,0
"Sweetened Iced Tea, Large",300,0,0,0,0,77,0,75,0
"Sweetened Iced Tea, Medium",220,0,0,0,0,58,0,56,0
"Sweetened Iced Tea, Small",160,0,0,0,0,41,0,40,0
"Vanilla Iced Coffee, Medium",250,8,5,0,25,42,0,39,3
"Vanilla Iced Coffee, Small",170,6,3.5,0,20,28,0,26,2
"Classic Chocolate Frosty, Junior",200,5,3,0,20,33,0,27,6
"Classic Chocolate Frosty, Large",590,15,10,0.5,60,99,0,81,17
"Classic Chocolate Frosty, Medium",470,12,8,0.5,50,79,0,65,13
"Classic Chocolate Frosty, Small",350,9,6,0,35,58,0,47,10
"Vanilla Frosty, Junior",190,5,3.5,0,25,32,0,27,5
"Vanilla Frosty, Large",570,15,10,0.5,70,94,0,78,15
"Vanilla Frosty, Medium",450,12,8,0.5,55,75,0,63,12
"Vanilla Frosty, Small",340,9,6,0,45,56,0,47,9
Chocolate Chunk Cookie,310,16,8,0,20,40,2,24,3
Double Chocolate Chunk Cookie,290,14,7,0,20,39,4,21,4
Sugar Cookie,330,16,8,0,25,43,1,24,3
Kids 2 Piece Chicken Tenders,200,10,1.5,0,45,13,0,0,15
Kids 4 Piece Chicken Nuggets,170,11,2,0,35,10,0,0,9
Kids Cheeseburger,280,13,6,0.5,50,25,1,5,15
Kids Grilled Chicken Wrap,270,10,3.5,0,55,24,2,3,20
Kids Hamburger,240,9,3.5,0.5,40,24,1,5,13
Artisan Egg Sandwich with Bacon,320,17,8,0,245,25,1,4,18
Artisan Egg Sandwich with Sausage,480,33,13,0,275,27,1,4,21
Bacon Breakfast Bowl,510,28,9,0,245,44,4,2,19
Biggie Breakfast Sandwich,610,40,15,0,290,37,2,7,27
Fresh-Baked Biscuit with Applewood Smoked Bacon,410,24,13,0,235,34,1,5,15
Fresh Baked Biscuit with Natural Sausage,590,41,19,0,270,36,1,6,20
Gravy and Sausage Bowl,450,22,6,0,220,50,4,2,12
Honey Butter Chicken Biscuit,500,26,12,0,50,48,1,9,19
Sausage and Egg Burrito,360,20,8,0,210,29,1,2,17
Sausage and Gravy Biscuit,490,29,14,0,20,49,2,6,8
Sausage Biscuit,480,33,15,0,50,35,1,5,12
Sausage Breakfast Bowl,640,42,14,0,270,46,4,3,21
"Seasoned Home-Style Potatoes, Large",360,13,2.5,0,0,57,6,1,5
"Seasoned Home-Style Potatoes, Medium",250,9,1.5,0,0,39,4,1,4
"Seasoned Home-Style Potatoes, Small",230,8,1.5,0,0,35,4,0,3
Two Sausage and Egg Burritos,720,41,16,0,420,59,2,5,34
Two Sausage Biscuits,960,65,31,0,95,70,3,10,23
Limited Time Cinnabon Dessert  Biscuits,290,13,7,0,5,40,2,17,4
Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,390,21,4,0,120,11,2,0,39
Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130,8,1.5,0,55,4,1,0,12
Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,4.5,0,100,8,1,0,19
Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130,8,2,0,55,3,0,0,10
Chicken Breast,770,60,10,0,105,21,1,1,35
Chicken Drumstick,250,21,3.5,0,50,6,1,0,11
Chicken Thigh,500,40,7,0,100,11,1,1,22
Chicken Whole Wing,290,25,4,0,45,6,1,1,10
Breast,260,12,3,0,130,1,0,0,38
Drumstick,100,6,1.5,0,55,0,0,0,11
Thigh,180,12,3.5,0,90,0,0,0,17
Whole Wing,90,6,1.5,0,45,1,0,0,9
Breast,540,40,7,0,100,14,2,1,31
Drumstick,190,14,2.5,0,40,6,1,0,9
Thigh,390,32,6,0,65,12,2,1,13
Whole Wing,180,15,2.5,0,35,5,1,0,8
EXTRA CRISPY  Chicken Breast,530,35,6,0,105,18,0,0,35
EXTRA CRISPY  Chicken Drumstick,170,12,2,0,50,5,0,0,10
EXTRA CRISPY  Chicken Thigh,330,23,4.5,0,100,9,0,0,22
EXTRA CRISPY  Chicken Whole Wing,170,13,2,0,45,5,0,0,10
KENTUCKY GRILLED CHICKEN Breast,210,7,2,0,130,0,0,0,38
KENTUCKY GRILLED CHICKEN Drumstick,80,4,1,0,55,0,0,0,11
KENTUCKY GRILLED CHICKEN Thigh,150,9,3,0,90,0,0,0,17
KENTUCKY GRILLED CHICKEN Whole Wing,70,3,1,0,45,0,0,0,9
SPICY CRISPY CHICKEN Breast,350,20,3.5,0,100,11,1,0,30
SPICY CRISPY CHICKEN Drumstick,130,8,1.5,0,40,5,1,0,9
SPICY CRISPY CHICKEN Thigh,270,20,3.5,0,65,10,1,0,13
SPICY CRISPY CHICKEN Whole Wing,120,8,1.5,0,35,5,0,0,7
EXTRA CRISPY  Tender (each),260,14,2,0,50,15,1,0,19
EXTRA CRISPY  Tender (each),220,16,2.5,0,25,9,1,0,10
KENTUCKY FRIED WINGS Buffalo,100,7,1.5,0,20,3,0,0,5
KENTUCKY FRIED WINGS Honey BBQ,100,6,1,0,20,8,0,4,5
KENTUCKY FRIED WINGS Nashville Hot,130,11,2,0,20,4,0,0,5
KENTUCKY FRIED WINGS Unsauced,80,6,1,0,20,3,0,0,5
POPCORN NUGGETS Kids,290,19,2.5,0,30,19,1,0,13
POPCORN NUGGETS Large,620,39,5,0,65,39,2,0,27
BBQ Baked Beans,190,1,0,0,0,34,7,15,11
Biscuit,180,8,4.5,0,0,22,1,1,4
Coleslaw,170,12,2,0,5,14,4,10,1
Corn on the Cob,70,0.5,0,0,0,17,2,3,2
Green Beans,25,0,0,0,0,5,3,1,1
KFC Cornbread Muffin,210,9,1.5,0,35,28,1,11,3
Macaroni & Cheese,140,6,1.5,0,5,17,1,2,5
Macaroni Salad,140,8,1,0,15,14,0,9,1
Mashed Potatoes,110,3.5,0.5,0,0,17,1,0,2
Mashed Potatoes With Gravy,130,4.5,1,0,0,20,1,0,3
Potato Salad,340,28,4.5,0,25,19,2,3,2
Secret Recipe Fries,320,15,2,0,0,41,3,0,5
Sweet Kernel Corn,70,0.5,0,0,0,16,2,2,2
BBQ Baked Beans (Family),830,5,1,0,0,148,31,63,47
Coleslaw (Family),640,46,7,0,15,54,14,37,4
Corn on the Cob (Family),280,2,0,0,0,67,8,11,9
Green Beans (Family),80,0,0,0,0,15,9,3,4
Macaroni & Cheese (Family),540,23,6,0,10,66,5,8,18
Macaroni Salad (Family),480,28,3.5,0,55,50,0,30,3
Mashed Potatoes (Family),460,15,3,0,0,72,6,0,9
Mashed Potatoes With Gravy (Family),590,21,5,0,0,88,6,1,12
Potato Salad (Family),1200,98,16,0,80,65,8,12,8
Secret Recipe Fries (Family),840,40,5,0,0,108,9,0,13
Sweet Kernel Corn (Family),280,2.5,0,0,0,67,7,8,10
Chicken Littles,300,15,2.5,0,30,27,1,3,14
Chicken Littles  Buffalo,310,17,2.5,0,30,27,1,3,14
Chicken Littles  Honey BBQ,320,15,2.5,0,30,31,1,7,14
Chicken Littles  Nashville Hot,340,19,3,0,30,27,1,3,14
Classic Chicken Sandwich,650,35,4.5,0,90,49,1,6,34
Crispy Colonels Sandwich,470,24,3.5,0,60,39,1,4,24
Crispy Colonels Sandwich  Buffalo,500,27,4,0,60,39,1,4,24
Crispy Colonels Sandwich  Honey BBQ,510,25,3.5,0,60,48,1,12,24
Crispy Colonels Sandwich  Nashville Hot,540,32,4.5,0,60,40,1,5,24
Crispy Twister,630,34,7,0,70,53,4,3,28
Honey BBQ Sandwich,350,3.5,0.5,0,55,55,2,22,24
Spicy Chicken Sandwich,620,33,4,0,85,49,1,6,34
Chicken Pot Pie,720,41,25,0,80,60,7,5,26
KFC Famous Bowl,740,35,6,0,45,81,6,2,26
KFC Famous Bowl  Snack Size,270,14,3.5,0,20,27,2,1,11
Caesar Side Salad,40,2,1,0,5,2,1,1,3
House Side Salad,15,0,0,0,0,3,2,2,1
Heinz Buttermilk Dressing,160,17,2,0,10,1,0,1,0
Hidden Valley The Original Ranch Fat Free Dressing,35,0,0,0,0,8,0,2,1
KFC Creamy Parmesan Caesar Dressing,260,26,5,0,15,4,0,2,2
Marzetti Light Italian Dressing,15,0.5,0,0,0,2,0,1,0
Parmesan Garlic Croutons,60,3,0,0,0,8,1,0,2
Apple Turnover,230,10,2.5,0,0,32,1,12,2
Cafe Valley Chocolate Chip Cake (1 Slice),300,15,3,0,50,39,1,27,4
Cafe Valley Lemon Cake (1 Slice),220,10,2,0,30,30,0,20,2
Cafe Valley Mini Chocolate Chip Cake,300,12,2.5,0,40,49,1,35,3
Cafe Valley Mini Lemon Cake,300,13,2.5,0,50,43,0,31,3
Chocolate Chip Cookie,120,6,3,0,5,18,1,12,1
Oreo Cookies and Pie,270,13,8,0,4,35,1,24,3
Reeses Peanut Butter Pie,300,17,9,0,5,33,1,22,5
BBQ  Dipping Sauce Cup,45,0,0,0,0,11,0,11,0
Colonels Buttery Spread,35,4,1.5,0,0,0,0,0,0
Grape Jelly Packet,35,0,0,0,0,9,0,7,0
Honey Mustard  Dipping Sauce Cup,110,9,1.5,0,5,6,0,6,0
Honey Sauce Packet,30,0,0,0,0,8,0,5,0
Ketchup,30,0,0,0,0,8,0,6,0
KFC Sauce  Dipping Sauce Cup,90,8,1.5,0,10,5,0,5,0
Lemon Juice Packet,5,0,0,0,0,1,0,0,0
Ranch  Dipping Sauce Cup,130,14,2.5,0,10,2,0,1,0
Strawberry Jam Packet,35,0,0,0,0,9,0,6,0
Capri Sun 100% Juice Fruit Punch,80,0,0,0,0,21,0,20,0
Chocolate Milk 1%,150,2.5,1.5,0,10,26,0,23,7
Milk 1%,90,2,1.5,0,10,10,0,10,7
Musselmas„¢ Applesauce,45,0,0,0,0,12,1,8,0
7UP (12 fl oz),140,0,0,0,0,35,0,35,0
7UP (16 fl oz),190,0,0,0,0,46,0,46,0
7UP (20 fl oz),240,0,0,0,0,58,0,58,0
7UP (30 fl oz),350,0,0,0,0,87,0,87,0
Classic Lemonade (1/2 Gallon),880,0,0,0,0,234,0,228,0
Classic Lemonade (20 fl oz),140,0,0,0,0,39,0,38,0
Code Red Mountain Dew (12 fl oz),170,0,0,0,0,46,0,46,0
Code Red Mountain Dew (16 fl oz),230,0,0,0,0,62,0,62,0
Code Red Mountain Dew (20 fl oz),290,0,0,0,0,77,0,77,0
Code Red Mountain Dew (30 fl oz),430,0,0,0,0,116,0,115,0
Diet Dr Pepper (12 fl oz),0,0,0,0,0,0,0,0,0
Diet Dr Pepper (16 fl oz),0,0,0,0,0,0,0,0,0
Diet Dr Pepper (20 fl oz),0,0,0,0,0,0,0,0,0
Diet Dr Pepper (30 fl oz),0,0,0,0,0,0,0,0,0
Diet Mist Twst (12 fl oz),0,0,0,0,0,0,0,0,0
Diet Mist Twst (16 fl oz),0,0,0,0,0,0,0,0,0
Diet Mist Twst (20 fl oz),0,0,0,0,0,0,0,0,0
Diet Mist Twst (30 fl oz),5,0,0,0,0,0,0,0,0
Diet Mountain Dew (12 fl oz),0,0,0,0,0,1,0,0,0
Diet Mountain Dew (16 fl oz),5,0,0,0,0,1,0,0,0
Diet Mountain Dew (20 fl oz),10,0,0,0,0,1,0,1,0
Diet Mountain Dew (30 fl oz),10,0,0,0,0,1,0,1,0
Diet Pepsi (12 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi (16 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi (20 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi (30 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (12 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (16 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (20 fl oz),0,0,0,0,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (30 fl oz),0,0,0,0,0,0,0,0,0
Dr Pepper (12 fl oz),140,0,0,0,0,39,0,38,0
Dr Pepper (16 fl oz),190,0,0,0,0,52,0,51,0
Dr Pepper (20 fl oz),240,0,0,0,0,65,0,64,0
Dr Pepper (30 fl oz),360,0,0,0,0,98,0,96,0
Lipton Brisk Lemon Tea (12 fl oz),80,0,0,0,0,22,0,22,0
Lipton Brisk Lemon Tea (16 fl oz),110,0,0,0,0,29,0,29,0
Lipton Brisk Lemon Tea (20 fl oz),140,0,0,0,0,36,0,36,0
Lipton Brisk Lemon Tea (30 fl oz),210,0,0,0,0,55,0,54,0
Lipton Brisk No Calorie Peach Iced Green Tea (12 fl oz),0,0,0,0,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (16 fl oz),0,0,0,0,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (20 fl oz),5,0,0,0,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (30 fl oz),10,0,0,0,0,0,0,0,0
Lipton Brisk Raspberry Tea (12 fl oz),80,0,0,0,0,20,0,20,0
Lipton Brisk Raspberry Tea (16 fl oz),100,0,0,0,0,26,0,26,0
Lipton Brisk Raspberry Tea (20 fl oz),130,0,0,0,0,33,0,33,0
Lipton Brisk Raspberry Tea (30 fl oz),190,0,0,0,0,49,0,49,0
Lipton Brisk Sweet Iced Tea (12 fl oz),80,0,0,0,0,22,0,21,0
Lipton Brisk Sweet Iced Tea (16 fl oz),110,0,0,0,0,29,0,29,0
Lipton Brisk Sweet Iced Tea (20 fl oz),130,0,0,0,0,36,0,36,0
Lipton Brisk Sweet Iced Tea (30 fl oz),200,0,0,0,0,54,0,54,0
Lipton Brisk Unsweetened No Lemon Iced Tea (12 fl oz),0,0,0,0,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (16 fl oz),0,0,0,0,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (20 fl oz),0,0,0,0,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (30 fl oz),0,0,0,0,0,0,0,0,0
Manzanita Sol (12 fl oz),160,0,0,0,0,42,0,42,0
Manzanita Sol (16 fl oz),210,0,0,0,0,57,0,57,0
Manzanita Sol (20 fl oz),260,0,0,0,0,71,0,71,0
Manzanita Sol (30 fl oz),400,0,0,0,0,106,0,106,0
Miranda Strawberry (12 fl oz),160,0,0,0,0,44,0,44,0
Miranda Strawberry (16 fl oz),220,0,0,0,0,58,0,58,0
Miranda Strawberry (20 fl oz),270,0,0,0,0,73,0,73,0
Miranda Strawberry (30 fl oz),410,0,0,0,0,109,0,109,0
Mist Twst (12 fl oz),150,0,0,0,0,41,0,41,0
Mist Twst (16 fl oz),200,0,0,0,0,54,0,54,0
